cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1135,1213 MEA-BST Sox6 Gaba_5,0341 MEA-BST Sox6 Gaba_5,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,5,2.4323587,0.0,0.4
1136,1214 MEA-BST Sox6 Gaba_5,0341 MEA-BST Sox6 Gaba_5,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,12,3.2296407,4.9171915,0.5833333333333334
1137,1215 MEA-BST Sox6 Gaba_5,0341 MEA-BST Sox6 Gaba_5,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,5,1.9321333,0.0,0.4
1138,1216 MEA-BST Sox6 Gaba_5,0341 MEA-BST Sox6 Gaba_5,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,3,3.5815132,4.670909,0.6666666666666666
1139,1217 MEA-BST Sox6 Gaba_5,0341 MEA-BST Sox6 Gaba_5,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,12,2.6960862,2.1577764,0.5
1140,1218 MEA-BST Sox6 Gaba_5,0341 MEA-BST Sox6 Gaba_5,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,8,1.9547255,0.0,0.375
1141,1195 MEA-BST Sox6 Gaba_2,0338 MEA-BST Sox6 Gaba_2,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,5,3.4496372,5.0042553,0.6
1143,1189 MEA-BST Sox6 Gaba_1,0337 MEA-BST Sox6 Gaba_1,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,3,5.8755054,5.8287406,1.0
1145,1196 MEA-BST Sox6 Gaba_2,0338 MEA-BST Sox6 Gaba_2,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,6,3.7412806,4.8274326,0.6666666666666666
1150,1234 MEA-BST Sox6 Gaba_9,0345 MEA-BST Sox6 Gaba_9,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,16,1.920634,0.0,0.3125
1157,1220 MEA-BST Sox6 Gaba_6,0342 MEA-BST Sox6 Gaba_6,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,4,2.7983637,2.6752381,0.5
1162,1222 MEA-BST Sox6 Gaba_6,0342 MEA-BST Sox6 Gaba_6,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,4,1.2609978,0.0,0.25
1163,1199 MEA-BST Sox6 Gaba_3,0339 MEA-BST Sox6 Gaba_3,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,1,5.1151457,5.1151457,1.0
1164,1209 MEA-BST Sox6 Gaba_4,0340 MEA-BST Sox6 Gaba_4,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,7,3.5950449,4.567062,0.7142857142857143
1165,1200 MEA-BST Sox6 Gaba_3,0339 MEA-BST Sox6 Gaba_3,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,1,6.317066,6.317066,1.0
1169,1204 MEA-BST Sox6 Gaba_3,0339 MEA-BST Sox6 Gaba_3,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1170,1025 IA Mgp Gaba_5,0294 IA Mgp Gaba_5,065 IA Mgp Gaba,09 CNU-LGE GABA,GABA,8,2.884841,2.3003223,0.5
