subclass,n_cells,cell_class,neurotransmitter,n_partitions,mean_Kif13a,fraction_expressing
306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba,2002,27 MY GABA,GABA,1,3.3211071601398605,0.568931068931069
075 MEA-BST Lhx6 Nr2e1 Gaba,2967,11 CNU-HYa GABA,GABA,7,3.3209264664307376,0.5551061678463095
005 L5 IT CTX Glut,19939,01 IT-ET Glut,Glut,5,3.281802428115753,0.5904007222027183
018 L2 IT PPP-APr Glut,1825,01 IT-ET Glut,Glut,2,3.2768596677808217,0.5698630136986301
060 OT D3 Folh1 Gaba,12315,09 CNU-LGE GABA,GABA,9,3.2637995851563133,0.47438083637840034
074 MEA-BST Lhx6 Sp9 Gaba,8035,11 CNU-HYa GABA,GABA,7,3.2588801432233976,0.5607965152457997
080 CEA-AAA-BST Six3 Sp9 Gaba,5393,11 CNU-HYa GABA,GABA,6,3.25293879499351,0.5436677174114593
120 MEA Otp Foxp2 Glut,1520,13 CNU-HYa Glut,Glut,4,3.248060675855263,0.5638157894736842
022 L5 ET CTX Glut,6060,01 IT-ET Glut,Glut,6,3.2405173141749173,0.6384488448844885
035 OB Eomes Ms4a15 Glut,827,03 OB-CR Glut,Glut,7,3.20692332834341,0.5199516324062877
069 LSX Nkx2-1 Gaba,7852,10 LSX GABA,GABA,4,3.1889685528527765,0.5323484462557311
113 MEA-COA-BMA Ccdc42 Glut,10367,13 CNU-HYa Glut,Glut,6,3.157429369026719,0.5422012153950033
079 CEA-BST Six3 Cyp26b1 Gaba,5790,11 CNU-HYa GABA,GABA,5,3.1196841705699487,0.5392055267702937
204 SC Otx2 Gcnt4 Gaba,781,20 MB GABA,GABA,3,3.106317458898848,0.4788732394366197
008 L2/3 IT ENT Glut,2840,01 IT-ET Glut,Glut,4,3.101796407042253,0.6496478873239436
083 CEA-BST Rai14 Pdyn Crh Gaba,537,11 CNU-HYa GABA,GABA,5,3.0891420175046553,0.5363128491620112
036 HPF CR Glut,1624,03 OB-CR Glut,Glut,10,3.039610869150246,0.41933497536945813
321 Astroependymal NN,1174,30 Astro-Epen,,11,3.0255578182793865,0.403747870528109
114 COAa-PAA-MEA Barhl2 Glut,4682,13 CNU-HYa Glut,Glut,8,3.021389532635626,0.5435711234515165
012 MEA Slc17a7 Glut,5327,01 IT-ET Glut,Glut,6,3.021223289787873,0.5507790501220199
066 NDB-SI-ant Prdm12 Gaba,1677,11 CNU-HYa GABA,GABA,6,3.019749147584973,0.5307096004770423
073 MEA-BST Sox6 Gaba,10279,11 CNU-HYa GABA,GABA,7,2.9735183804747543,0.5070532152933165
064 STR-PAL Chst9 Gaba,14431,09 CNU-LGE GABA,GABA,9,2.961829238167833,0.4667036241424711
081 ACB-BST-FS D1 Gaba,2202,11 CNU-HYa GABA,GABA,5,2.95636765808356,0.5059037238873751
044 OB Dopa-Gaba,1976,05 OB-IMN GABA,Dopa,5,2.953504173987854,0.4701417004048583
070 LSX Prdm12 Slit2 Gaba,7810,10 LSX GABA,GABA,5,2.9170827742637644,0.5076824583866837
062 STR D2 Gaba,36320,09 CNU-LGE GABA,GABA,8,2.882052247948789,0.4995319383259912
002 IT EP-CLA Glut,9491,01 IT-ET Glut,Glut,8,2.8781479456643138,0.5537877989674428
331 Peri NN,23170,33 Vascular,,13,2.8500955145662497,0.35192058696590417
065 IA Mgp Gaba,1081,09 CNU-LGE GABA,GABA,6,2.8474310839963,0.4921369102682701
068 LSX Otx2 Gaba,4339,10 LSX GABA,GABA,3,2.8201724435584232,0.460244295920719
312 CBX MLI Cdh22 Gaba,13098,28 CB GABA,GABA,4,2.766941243579172,0.42533211177278973
021 L4 RSP-ACA Glut,1563,01 IT-ET Glut,Glut,3,2.6898621343570057,0.5630198336532309
049 Lamp5 Gaba,14101,06 CTX-CGE GABA,GABA,11,2.6758141029572373,0.4682646620807035
